DATE,TIME,MHz,CPU_0,CPU_1,CPU_2,CPU_3,LOAD%,GPU
05/13/18,12:49:05,3984.00,52,50,52,52,1.0,62
05/13/18,12:49:06,3984.00,52,51,53,52,1.0,62
05/13/18,12:49:07,3984.00,52,49,52,52,0.8,62
05/13/18,12:49:08,3984.00,51,49,52,52,0.9,62
05/13/18,12:49:09,3984.00,52,49,51,51,1.1,62
05/13/18,12:49:10,3984.00,51,49,51,51,0.9,62
05/13/18,12:49:11,3984.00,52,49,51,50,1.0,62
05/13/18,12:49:12,3984.00,51,49,51,50,1.0,62
05/13/18,12:49:13,3984.00,50,49,50,50,1.1,62
05/13/18,12:49:14,3984.00,50,49,50,50,0.8,62
05/13/18,12:49:15,3984.00,51,49,50,50,0.9,62
05/13/18,12:49:16,3984.00,51,48,51,50,0.9,62
05/13/18,12:49:17,3984.00,51,48,50,50,0.9,62
05/13/18,12:49:18,3984.00,50,48,50,49,1.0,62
05/13/18,12:49:19,3984.00,50,48,50,49,0.8,62
05/13/18,12:49:20,3984.00,50,48,50,49,0.8,62
05/13/18,12:49:21,3984.00,49,48,50,50,0.8,62
05/13/18,12:49:22,3984.00,49,48,49,49,0.9,62
05/13/18,12:49:23,3984.00,49,48,49,50,0.9,62
05/13/18,12:49:24,3984.00,48,47,49,49,1.0,62
05/13/18,12:49:25,3984.00,49,47,49,49,1.0,62
05/13/18,12:49:26,3984.00,48,47,49,48,1.0,62
05/13/18,12:49:27,3984.00,48,47,48,49,1.0,62
05/13/18,12:49:28,3984.00,48,46,49,49,0.8,62
05/13/18,12:49:29,3984.00,48,46,49,48,0.9,62
05/13/18,12:49:30,3984.00,48,46,49,49,1.0,62
05/13/18,12:49:31,3984.00,48,46,48,48,1.0,62
05/13/18,12:49:32,3984.00,47,46,47,48,0.8,62
05/13/18,12:49:33,3984.00,48,46,48,48,0.9,62
05/13/18,12:49:34,3984.00,47,46,48,47,0.8,62
05/13/18,12:49:35,3984.00,47,46,47,47,1.0,62
05/13/18,12:49:36,3984.00,48,45,48,47,0.9,62
05/13/18,12:49:37,3984.00,47,46,48,47,1.1,62
05/13/18,12:49:38,3984.00,48,46,48,47,0.9,62
05/13/18,12:49:39,3984.00,47,45,48,47,1.0,62
05/13/18,12:49:40,3984.00,47,45,47,47,0.9,62
05/13/18,12:49:41,3984.00,46,45,47,47,1.0,62
05/13/18,12:49:42,3984.00,49,47,49,49,1.6,62
05/13/18,12:49:43,3983.99,52,48,51,50,3.2,62
05/13/18,12:49:44,3983.99,48,46,49,49,1.1,62
05/13/18,12:49:45,3983.99,49,46,48,48,0.9,62
05/13/18,12:49:46,3983.99,48,46,48,48,0.9,62
05/13/18,12:49:47,3983.99,48,47,48,48,0.9,62
05/13/18,12:49:48,3983.99,50,48,50,50,1.0,62
05/13/18,12:49:49,3983.99,48,47,48,48,0.9,62
05/13/18,12:49:50,3983.99,49,48,48,48,0.9,62
05/13/18,12:49:51,3983.99,48,46,47,47,1.1,62
05/13/18,12:49:52,3983.99,47,45,47,47,1.0,62
05/13/18,12:49:53,3983.99,47,45,47,47,0.9,62
05/13/18,12:49:54,3983.99,46,46,47,47,1.0,62
05/13/18,12:49:55,3983.99,48,45,47,47,0.9,62
05/13/18,12:49:56,3984.00,47,46,47,48,0.9,62
05/13/18,12:49:57,3984.00,47,45,47,47,0.9,62
05/13/18,12:49:58,3984.00,47,45,47,47,0.9,62
05/13/18,12:49:59,3984.00,46,45,48,47,0.9,62
05/13/18,12:50:00,3984.00,47,45,47,47,0.8,62
05/13/18,12:50:01,3984.00,46,45,47,46,1.0,62
05/13/18,12:50:02,3984.00,46,45,47,47,1.0,62
05/13/18,12:50:03,3984.00,46,44,47,47,0.9,62
05/13/18,12:50:04,3984.00,46,44,47,46,1.0,62
05/13/18,12:50:05,3984.00,46,45,47,46,0.9,62
05/13/18,12:50:06,3984.00,46,45,47,46,1.0,62
05/13/18,12:50:07,3984.00,46,44,47,46,0.9,62
05/13/18,12:50:08,3984.00,46,44,47,46,1.0,62
05/13/18,12:50:09,3984.00,46,44,47,47,0.9,62
05/13/18,12:50:10,3984.00,46,44,46,46,1.0,62
05/13/18,12:50:11,3984.00,46,44,47,47,0.9,62
05/13/18,12:50:12,3984.00,46,44,46,47,1.0,62
05/13/18,12:50:13,3984.00,45,44,46,45,0.9,62
05/13/18,12:50:14,3984.00,45,44,47,45,1.0,62
05/13/18,12:50:15,3984.00,46,44,46,46,0.9,62
05/13/18,12:50:16,3984.00,46,44,45,46,1.0,62
05/13/18,12:50:17,3984.00,45,43,46,46,0.8,62
05/13/18,12:50:18,3984.00,45,43,46,46,1.0,62
05/13/18,12:50:19,3984.00,45,43,45,46,0.9,62
05/13/18,12:50:20,3984.00,45,43,45,46,0.9,62
05/13/18,12:50:21,3984.00,46,44,47,47,0.9,62
05/13/18,12:50:22,3984.00,45,43,46,45,0.9,62
05/13/18,12:50:23,3984.00,45,43,46,45,1.1,62
05/13/18,12:50:24,3984.00,45,43,45,46,1.0,62
05/13/18,12:50:25,3984.00,45,43,45,46,0.9,62
05/13/18,12:50:26,3984.00,45,43,45,46,1.0,62
